Feature,Importance_Mean,Importance_Std
RIAGENDR_1.0,0.022783426147848816,0.007358430333554101
INDFMPIR,0.021083841232884343,0.006626798226918257
ALQ151_1.0,0.018808752687515345,0.004735936160467349
RIDAGEYR,0.01875926609247933,0.007058518823530257
SLD012,0.015793623791162736,0.006135313493310553
DMDMARTZ_1.0,0.009332450745005045,0.0032791262698917355
RIDRETH3_4.0,0.006923453318976827,0.0037920448665260554
ALQ130,0.005934017646297737,0.0028725759102531997
PAD680,0.005447460862625786,0.0038533054289748873
SLD013,0.005124914349012591,0.0036353533824457383
DMDEDUC2_5.0,0.0041353499917187566,0.004890733281964219
DMDBORN4_1.0,0.0025255770548348903,0.0029114996764588743
HSQ590_1.0,0.0024967135595075516,0.0033497585193094795
DMDEDUC2_1.0,0.002019509822699506,0.0006833243686091905
SMQ020_1.0,0.0016956312346326468,0.003202180834537756
HSQ590_2.0,0.0016933388426026096,0.0010227545732495616
HSQ590_-1.0,0.0013495907898585457,0.000879273377983917
RIDRETH3_6.0,0.0010981045811939067,0.002264699552407033
ALQ121_1.0,0.0009130576109467048,0.0011556241428545796
ALQ121_10.0,0.0008693269882273258,0.0009676839024567827
RIDRETH3_1.0,0.0008268614690991854,0.0012269184513178104
DMDEDUC2_4.0,0.0003982049007171806,0.0005975790491635626
RIDRETH3_7.0,0.00038668364763859154,0.0003588368311063113
ALQ121_4.0,0.00016632920022092434,0.000987645989826604
ALQ121_6.0,0.0001303245745096021,0.00093957840789534
DMDMARTZ_2.0,9.388737980496331e-05,0.0004693047673940488
ALQ121_0.0,3.2576987100407793e-07,0.00013377151734988472
ALQ151_-1.0,0.0,0.0
DMDBORN4_-1.0,0.0,0.0
RIAGENDR_2.0,0.0,0.0
DMDBORN4_2.0,0.0,0.0
SMQ020_-1.0,0.0,0.0
SMQ020_2.0,0.0,0.0
ALQ121_3.0,0.0,0.0
ALQ121_-1.0,0.0,0.0
RIDEXMON_2.0,0.0,0.0
DMDMARTZ_-1.0,0.0,0.0
ALQ111_-1.0,0.0,0.0
ALQ111_2.0,0.0,0.0
ALQ121_7.0,-1.7884977992613238e-05,0.0005556466489081386
ALQ111_1.0,-4.221922616426677e-05,0.00013212507373013352
ALQ151_2.0,-8.401095264148617e-05,6.880505240616525e-05
RIDRETH3_2.0,-9.965683415569526e-05,0.00042122656966677254
ALQ121_8.0,-0.00015338173656716803,0.00043387467060664053
DMDEDUC2_2.0,-0.0001870402646005992,0.00030311884285022777
ALQ121_5.0,-0.0002344958256716656,0.0019053133332596363
DMDEDUC2_-1.0,-0.0003333901256871996,0.0006027022983055198
DMDMARTZ_3.0,-0.0003607827431718891,0.00010889870528042006
ALQ121_9.0,-0.0005228482610471957,0.0009847374490915977
DMDEDUC2_3.0,-0.0007803851586319271,0.0010337856681315915
ALQ170,-0.000794662476156302,0.0008727784577974071
RIDEXMON_1.0,-0.0013713012475338377,0.0005525353380031886
ALQ121_2.0,-0.002022224692954827,0.0016824293405002149
RIDRETH3_3.0,-0.0020842220176230802,0.0011000804594429488
