Feature,Coefficient,Odds_Ratio,Abs_Coefficient
INDFMPIR,-0.3145644819814401,0.7301067796952913,0.3145644819814401
ALQ151_1.0,0.18826566089320532,1.2071541664095808,0.18826566089320532
DMDEDUC2_5.0,-0.18604093900226049,0.8302396051051115,0.18604093900226049
DMDBORN4_-1.0,-0.17884283521509026,0.8362373161276466,0.17884283521509026
DMDEDUC2_-1.0,0.17324284508705737,1.1891548504355969,0.17324284508705737
PAD680,0.1722216654854883,1.187941129578189,0.1722216654854883
RIAGENDR_2.0,0.1595820033045231,1.1730204498299825,0.1595820033045231
RIAGENDR_1.0,-0.1595820033045231,0.8525000567082526,0.1595820033045231
RIDAGEYR,-0.1479830830822139,0.86244570474172,0.1479830830822139
ALQ130,0.13595335866755204,1.1456284587109298,0.13595335866755204
RIDRETH3_4.0,-0.11811105275988937,0.8885973659450866,0.11811105275988937
DMDMARTZ_1.0,-0.11694101591110956,0.889637666083039,0.11694101591110956
DMDEDUC2_1.0,0.11641687752740681,1.1234641214702492,0.11641687752740681
ALQ151_2.0,-0.1131347335803,0.8930303308362102,0.1131347335803
ALQ121_-1.0,0.1100781646871593,1.1163653273951926,0.1100781646871593
DMDMARTZ_3.0,0.0987810549036848,1.1038245961174438,0.0987810549036848
SLD013,-0.09766573478627982,0.9069520156005542,0.09766573478627982
DMDMARTZ_2.0,0.0898796854064729,1.0940426464901163,0.0898796854064729
DMDBORN4_1.0,0.08797663569014924,1.091962608777412,0.08797663569014924
DMDMARTZ_-1.0,-0.08656333576742042,0.9170774631403636,0.08656333576742042
HSQ590_1.0,0.08293293643763604,1.0864689436272172,0.08293293643763604
DMDBORN4_2.0,-0.07841204771581259,0.924583375575356,0.07841204771581259
ALQ121_5.0,-0.07560600327436598,0.9271814410559043,0.07560600327436598
RIDRETH3_3.0,0.07519958613088482,1.0780993030818318,0.07519958613088482
DMDEDUC2_2.0,0.07320724227162757,1.0759534968573974,0.07320724227162757
RIDRETH3_7.0,0.06899154866688163,1.0714271541222913,0.06899154866688163
HSQ590_2.0,-0.0681774661339816,0.9340946886938722,0.0681774661339816
ALQ121_1.0,-0.0671045708675165,0.935097412276308,0.0671045708675165
RIDRETH3_2.0,0.06696440824951067,1.0692574207540109,0.06696440824951067
ALQ121_10.0,0.0668384067331789,1.06912270118526,0.0668384067331789
ALQ121_4.0,-0.06565123178100056,0.9364574139276656,0.06565123178100056
ALQ151_-1.0,-0.056878524463419816,0.9447088214075918,0.056878524463419816
ALQ121_6.0,-0.056498661718528846,0.9450677492609583,0.056498661718528846
HSQ590_-1.0,-0.04991579649314505,0.9513095247263932,0.04991579649314505
ALQ121_2.0,-0.047885478843527285,0.9532429473115329,0.047885478843527285
ALQ111_1.0,0.04777285248045213,1.0489323658769842,0.04777285248045213
RIDRETH3_6.0,-0.04693680842101073,0.9541476897844781,0.04693680842101073
SMQ020_1.0,0.04599050590107836,1.0470644699760916,0.04599050590107836
ALQ111_2.0,-0.045482126766234865,0.9555366809498008,0.045482126766234865
SMQ020_2.0,-0.0444012359203709,0.956570070191001,0.0444012359203709
RIDRETH3_1.0,-0.04334195411232385,0.957583884327114,0.04334195411232385
SLD012,-0.042014671222297476,0.9588557128839748,0.042014671222297476
ALQ170,-0.039987531597578584,0.9608014187363758,0.039987531597578584
RIDEXMON_2.0,-0.0359807519571266,0.964658861099544,0.0359807519571266
RIDEXMON_1.0,0.0359807519571266,1.036635893086778,0.0359807519571266
ALQ121_0.0,0.03492038040400694,1.0355372564592606,0.03492038040400694
DMDEDUC2_3.0,0.03423080068589622,1.0348234171227098,0.03423080068589622
DMDEDUC2_4.0,-0.02773556813251412,0.9726455312727439,0.02773556813251412
ALQ121_8.0,0.026205490453020047,1.026551873410685,0.026205490453020047
SMQ020_-1.0,-0.022725622962032718,0.9775306589477639,0.022725622962032718
ALQ121_7.0,-0.01949676048595224,0.9806920721492646,0.01949676048595224
ALQ111_-1.0,-0.01869447091941717,0.9814791868714782,0.01869447091941717
ALQ121_3.0,0.0172599306504789,1.017409743934656,0.0172599306504789
ALQ121_9.0,0.013430235410703083,1.013520826119518,0.013430235410703083
