Model,Split,PR_AUC,ROC_AUC,Recall,Precision,F1,Accuracy,Threshold
XGBoost,Test,0.2715760723961863,0.6812777615855435,0.44680851063829785,0.23648648648648649,0.30927835051546393,0.7723300970873787,0.5808135867118835
XGBoost,Validation,0.23834278048218635,0.708726318857476,0.6,0.21107784431137724,0.3122923588039867,0.6985436893203884,0.5
XGBoost,Validation (tuned threshold),0.23834278048218635,0.708726318857476,0.43829787234042555,0.256857855361596,0.3238993710691824,0.7912621359223301,0.5808135867118835
