Feature,Importance_Mean,Importance_Std
INDFMPIR,0.02426940050581474,0.009050039207298263
RIDAGEYR,0.017235734898943787,0.004382047895061932
SLD012,0.014550600497896854,0.004063577209419431
SLD013,0.013304037055825543,0.0030359542142248683
ALQ151_1.0,0.01247948705087058,0.002603127383386435
PAD680,0.009347102005952582,0.004161741358996517
RIAGENDR_2.0,0.007251398092535907,0.005099835340371888
RIAGENDR_1.0,0.007143771084793524,0.00558176812836975
ALQ130,0.00559274385516588,0.002718885333562494
DMDMARTZ_1.0,0.003283145313037225,0.003922760773865964
HSQ590_1.0,0.0030633335510678594,0.001993723205654865
HSQ590_2.0,0.002947236487983526,0.0024848088199579915
RIDRETH3_4.0,0.0022907141844212804,0.0014292523071122885
ALQ151_2.0,0.0017544697207775239,0.0015760247004859322
DMDMARTZ_3.0,0.0011254508723990946,0.0004660786578080108
SMQ020_1.0,0.0010993335446113056,0.0011040260823105138
RIDRETH3_3.0,0.0007583021173296651,0.001727425391794203
DMDEDUC2_-1.0,0.0005292393410436663,0.0003188307493053581
RIDRETH3_2.0,0.00042204109214314945,0.0001979395491107201
RIDRETH3_7.0,0.00038222406204117544,0.000595415422077141
RIDRETH3_1.0,0.0003567921327544771,0.0005398757769272082
ALQ121_1.0,0.0003130818776786948,0.0005335015630598084
DMDMARTZ_-1.0,0.00027490470681755806,0.00015046528067707177
ALQ121_6.0,0.00026145449922720666,0.0005233307004093566
DMDEDUC2_1.0,0.00024616852206303663,0.00014203070626087343
ALQ121_-1.0,0.00024373197150152627,0.0001511202854541622
ALQ151_-1.0,0.00014415866167768465,0.0002239878415019154
ALQ121_5.0,0.0001162923170757002,0.00023391124020656276
SMQ020_2.0,0.00011505820890371221,0.001394110711606133
ALQ121_4.0,8.648206585221141e-05,0.00021472503521151868
ALQ121_3.0,3.906356163459468e-05,0.0002619749231455953
HSQ590_-1.0,3.444774783693538e-05,3.2327549939372846e-05
SMQ020_-1.0,0.0,0.0
ALQ111_-1.0,0.0,0.0
DMDBORN4_-1.0,0.0,0.0
ALQ111_2.0,-2.4263240008032262e-05,7.684060957816185e-05
DMDEDUC2_3.0,-4.6541006725145384e-05,0.0004430834976259641
ALQ111_1.0,-6.267142780374269e-05,0.000132152286179887
ALQ121_7.0,-8.941518355875256e-05,0.0003613660499547987
ALQ121_8.0,-0.0001219042914017865,8.611290437002012e-05
DMDEDUC2_4.0,-0.00015083332617368272,0.0006800172167491866
DMDEDUC2_2.0,-0.00016852654600807703,0.00045787640190817326
ALQ121_10.0,-0.0002649343348601563,0.00022522353792387055
ALQ121_9.0,-0.0003902807467001862,0.0004558134944820818
DMDBORN4_1.0,-0.0004276318327187084,0.0026961412906565774
ALQ121_2.0,-0.000457490157349022,0.00015543712938639713
DMDMARTZ_2.0,-0.0004895203344099485,0.0006360372927741614
ALQ121_0.0,-0.0005659585435744019,0.0003124157415476627
DMDEDUC2_5.0,-0.0006114187860453785,0.0036759034819726934
RIDRETH3_6.0,-0.0006123249023102545,0.0018403729631991219
ALQ170,-0.0006578234133868654,0.000854004544956002
DMDBORN4_2.0,-0.0007190849807768906,0.0024568778419513707
RIDEXMON_1.0,-0.0008956226914718258,0.0005365314360885335
RIDEXMON_2.0,-0.0013629845222322468,0.0005371038598174429
