Feature,Importance_Mean,Importance_Std
INDFMPIR,0.018715654924467633,0.009423714715707503
ALQ151_1.0,0.01555710086188627,0.004123776636576272
RIDAGEYR,0.014375414172328248,0.0039731750573978935
DMDMARTZ_-1.0,0.013587773143079074,0.0018651973807987936
DMDEDUC2_-1.0,0.013348939479019939,0.0031837364714207028
ALQ130,0.011445669533636271,0.0025448057257248767
DMDEDUC2_1.0,0.009725904939413,0.004375090462611177
PAD680,0.008641820804175915,0.00403525713288062
SLD013,0.008320406721027773,0.0020055300390485844
DMDMARTZ_3.0,0.007925439806042567,0.0029374508589124935
ALQ151_2.0,0.007057870757351431,0.0047406262956129035
HSQ590_-1.0,0.006181020164930629,0.0010338265356256626
ALQ121_0.0,0.005277813513537022,0.0025324643496837124
SLD012,0.0052483644648300635,0.0017253799227268175
RIAGENDR_2.0,0.005166672352371266,0.006824273930291773
RIAGENDR_1.0,0.005166672352371266,0.006824273930291773
RIDRETH3_4.0,0.004702980820420827,0.0025007804766826115
ALQ170,0.003570721769845975,0.0007164183172915757
ALQ121_1.0,0.0034093197094717696,0.0014247155221595472
RIDRETH3_1.0,0.0033107439244748293,0.0019553293559781393
SMQ020_1.0,0.003290952741156239,0.0015634365440922694
SMQ020_2.0,0.003084751531878921,0.0014051630893818167
ALQ121_10.0,0.0027396119976902,0.0018187294443682057
ALQ111_1.0,0.0026876557634757216,0.0018591484791484296
DMDEDUC2_5.0,0.002599985414861794,0.00399790207006601
ALQ121_7.0,0.002526725810021524,0.000646199213058105
ALQ111_2.0,0.002368255734215968,0.0015985626400592215
RIDRETH3_7.0,0.0023624478789305015,0.0026703524262306484
RIDRETH3_2.0,0.0020368204297804894,0.0008539600345416924
DMDEDUC2_2.0,0.0017160563588598742,0.0021519004327664702
DMDMARTZ_1.0,0.0015750364215925794,0.0018049743748383682
SMQ020_-1.0,0.0015397757989543959,0.0007872068989439789
DMDMARTZ_2.0,0.0015226468120525082,0.001741676796263463
ALQ121_4.0,0.001456119451839194,0.0024572460530272733
HSQ590_2.0,0.0014517297044476074,0.0015245436916816063
ALQ121_6.0,0.0013634817935304355,0.0007338086066151626
HSQ590_1.0,0.0011234919976639112,0.0022560768045253384
DMDEDUC2_4.0,0.0009030658515003897,0.0008485042851483103
ALQ121_3.0,0.0006770818083497887,0.0004402873288567068
ALQ111_-1.0,0.0006711634795988575,0.0003650618195223358
DMDBORN4_1.0,0.0004872602120607583,0.0020545557779005144
ALQ151_-1.0,0.00041928403292509355,0.0006236563205619464
DMDBORN4_2.0,0.0004072502792706378,0.001997217396079584
ALQ121_5.0,0.00028199909590246317,0.0010130008732171928
RIDEXMON_1.0,6.067552445036539e-05,0.00112632252286686
RIDEXMON_2.0,6.067552445036539e-05,0.00112632252286686
DMDEDUC2_3.0,3.618272058064087e-05,0.0016752704126210694
DMDBORN4_-1.0,0.0,0.0
ALQ121_9.0,-2.3206485105697895e-05,0.0007102375039460357
RIDRETH3_6.0,-0.0006540812815840457,0.0010824487915378057
ALQ121_2.0,-0.000705094649314375,0.0014376431166076464
ALQ121_-1.0,-0.0008856561180529577,0.00142895834405034
ALQ121_8.0,-0.0009957855494343415,0.0014926808091245052
RIDRETH3_3.0,-0.0011049742088934222,0.0028392600489488655
